08/21/2017,-110.98,*,,PURCHASE AUTHORIZED ON 08/20 HARRIS TEETER #017 CHARLOTTESVIL VA S307232802352906 CARD 7300
08/21/2017,-84.21,*,,PURCHASE AUTHORIZED ON 08/20 MARSHALLS U.S. RTE. 29 CHARLOTTESVIL VA P00000000544954369 CARD 7300
08/21/2017,-68.43,*,,PURCHASE AUTHORIZED ON 08/20 VA ABC STORE 253 CHARLOTTESVIL VA S587232748025078 CARD 7300
08/21/2017,-2.76,*,,PURCHASE AUTHORIZED ON 08/19 KROGER #359 CHARLOTTESVLE VA S387231741550291 CARD 2686
08/21/2017,-20,*,,ATM WITHDRAWAL AUTHORIZED ON 08/19 123 E. MAIN ST CHARLOTTESVIL VA 0006534 ATM ID 0232P CARD 7300
08/21/2017,-12.32,*,,PURCHASE AUTHORIZED ON 08/18 TRADER JOE'S #661 CHARLOTTESVIL VA S587230736979238 CARD 7300
08/21/2017,-52.6,*,,PURCHASE AUTHORIZED ON 08/18 LLBEAN-SHOPSATSTON CHARLOTTESVIL VA S307230731328848 CARD 7300
08/21/2017,-20.47,*,,PURCHASE AUTHORIZED ON 08/18 COSTCO GAS #1184 CHARLOTTESVIL VA S307230717244289 CARD 7300
08/21/2017,-8.47,*,,PURCHASE AUTHORIZED ON 08/18 CHICK-FIL-A #01856 CHARLOTTESVIL VA S587230564414176 CARD 7300
08/21/2017,81.08,*,,PURCHASE RETURN AUTHORIZED ON 08/20 GREAT OUTDOOR PROV CHARLOTTSVILL VA S627233546116656 CARD 7300
08/17/2017,-15.17,*,,PURCHASE AUTHORIZED ON 08/16 J CREW FACTORY #10 CHARLOTTESVLE VA S307228767334193 CARD 7300
08/17/2017,-11.59,*,,PURCHASE AUTHORIZED ON 08/16 KILWINS CHARLOTTES CHARLOTTESVIL VA S307228012963458 CARD 2686
08/17/2017,-18.44,*,,PURCHASE AUTHORIZED ON 08/15 CITIZEN BURGER BAR CHARLOTTESVIL VA S307227610964508 CARD 2686
08/15/2017,1079.95,*,,"VIRGINIA INSTITU DIRECT DEP 170815 502043594828KJB NACK,ELIZABETH A"
